Zulassungsnr,Code_Hinweis,Text_Hinweis
00A093-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
008570-60,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
008570-60,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
044660-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
044660-00,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
007005-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
044660-64,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
044660-64,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
005890-61,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
005890-61,NN130,Das Mittel wird als nichtschädigend für Populationen der Arten Pardosa amentata und palustris (Wolfspinnen) eingestuft.
005890-61,NN1513,Das Mittel wird als nichtschädigend für Populationen der Art Orius laevigatus (räuberische Blumenwanze) eingestuft.
005890-61,NN165,Das Mittel wird als nichtschädigend für Populationen der Art Poecilus cupreus (Laufkäfer) eingestuft.
005890-61,NN170,Das Mittel wird als nichtschädigend für Populationen der Art Chrysoperla carnea (Florfliege) eingestuft.
005890-61,NN1842,Das Mittel wird als nichtschädigend für Populationen der Art Aphidius rhopalosiphi (Brackwespe) eingestuft.
00A944-60,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
00A944-60,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
00A944-60,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
00A617-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
00A617-00,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
024034-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
024034-00,NN130,Das Mittel wird als nichtschädigend für Populationen der Arten Pardosa amentata und palustris (Wolfspinnen) eingestuft.
024034-00,NN165,Das Mittel wird als nichtschädigend für Populationen der Art Poecilus cupreus (Laufkäfer) eingestuft.
024034-00,NN170,Das Mittel wird als nichtschädigend für Populationen der Art Chrysoperla carnea (Florfliege) eingestuft.
024034-00,NN1842,Das Mittel wird als nichtschädigend für Populationen der Art Aphidius rhopalosiphi (Brackwespe) eingestuft.
025180-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
025180-00,NN130,Das Mittel wird als nichtschädigend für Populationen der Arten Pardosa amentata und palustris (Wolfspinnen) eingestuft.
025180-00,NN134,Das Mittel wird als nichtschädigend für Populationen der Art Typhlodromus pyri (Raubmilbe) eingestuft.
025180-00,NN165,Das Mittel wird als nichtschädigend für Populationen der Art Poecilus cupreus (Laufkäfer) eingestuft.
025180-00,NN170,Das Mittel wird als nichtschädigend für Populationen der Art Chrysoperla carnea (Florfliege) eingestuft.
025180-00,NN1842,Das Mittel wird als nichtschädigend für Populationen der Art Aphidius rhopalosiphi (Brackwespe) eingestuft.
008825-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
008825-00,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
008825-00,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
008357-63,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
008357-63,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
00A997-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
00A197-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
00A197-00,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
008355-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
008355-00,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
024487-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
024487-00,NN130,Das Mittel wird als nichtschädigend für Populationen der Arten Pardosa amentata und palustris (Wolfspinnen) eingestuft.
024487-00,NN160,Das Mittel wird als nichtschädigend für Populationen der Art Aleochara bilineata (Kurzflügelkäfer) eingestuft.
024487-00,NN165,Das Mittel wird als nichtschädigend für Populationen der Art Poecilus cupreus (Laufkäfer) eingestuft.
024487-00,NN1842,Das Mittel wird als nichtschädigend für Populationen der Art Aphidius rhopalosiphi (Brackwespe) eingestuft.
024487-00,NN191,Das Mittel wird als nichtschädigend für Populationen der Art Episyrphus balteatus (Schwebfliege) eingestuft.
006415-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
006415-00,NN170,Das Mittel wird als nichtschädigend für Populationen der Art Chrysoperla carnea (Florfliege) eingestuft.
053892-00,NB663,Aufgrund der durch die Zulassung festgelegten Anwendungen des Mittels werden Bienen nicht gefährdet (B3).
053892-00,NN000,Aufgrund der durch die Zulassung festgelegten Anwendungen des Mittels werden Populationen relevanter Nutzorganismen nicht gefährdet.
005686-61,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
005686-61,NN130,Das Mittel wird als nichtschädigend für Populationen der Arten Pardosa amentata und palustris (Wolfspinnen) eingestuft.
005686-61,NN160,Das Mittel wird als nichtschädigend für Populationen der Art Aleochara bilineata (Kurzflügelkäfer) eingestuft.
007646-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
006284-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
006284-00,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
006284-00,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
00A742-00,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
00B072-00,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
006899-60,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
006899-60,NN165,Das Mittel wird als nichtschädigend für Populationen der Art Poecilus cupreus (Laufkäfer) eingestuft.
006899-60,NN170,Das Mittel wird als nichtschädigend für Populationen der Art Chrysoperla carnea (Florfliege) eingestuft.
007135-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
007135-00,NN002,Aufgrund der Selektivität des Mittels werden Populationen relevanter Nutzorganismen nicht gefährdet.
007748-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
007748-00,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
007748-00,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
00B112-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
00B112-00,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
00B112-00,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
00B113-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
00B113-00,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
00B113-00,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
006986-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
006986-00,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
034078-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
00B272-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
00A045-64,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
034046-60,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
034046-60,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
005921-00,NB663,Aufgrund der durch die Zulassung festgelegten Anwendungen des Mittels werden Bienen nicht gefährdet (B3).
005921-00,NN002,Aufgrund der Selektivität des Mittels werden Populationen relevanter Nutzorganismen nicht gefährdet.
024345-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
024345-00,NN165,Das Mittel wird als nichtschädigend für Populationen der Art Poecilus cupreus (Laufkäfer) eingestuft.
006240-60,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
006239-60,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
005747-61,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
024436-74,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
024436-74,NN165,Das Mittel wird als nichtschädigend für Populationen der Art Poecilus cupreus (Laufkäfer) eingestuft.
024213-73,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
024213-73,NN134,Das Mittel wird als nichtschädigend für Populationen der Art Typhlodromus pyri (Raubmilbe) eingestuft.
024213-73,NN165,Das Mittel wird als nichtschädigend für Populationen der Art Poecilus cupreus (Laufkäfer) eingestuft.
024213-73,NN170,Das Mittel wird als nichtschädigend für Populationen der Art Chrysoperla carnea (Florfliege) eingestuft.
024213-74,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
024213-74,NN134,Das Mittel wird als nichtschädigend für Populationen der Art Typhlodromus pyri (Raubmilbe) eingestuft.
024213-74,NN165,Das Mittel wird als nichtschädigend für Populationen der Art Poecilus cupreus (Laufkäfer) eingestuft.
024213-74,NN170,Das Mittel wird als nichtschädigend für Populationen der Art Chrysoperla carnea (Florfliege) eingestuft.
043743-68,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
043743-68,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
043743-68,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
024175-00,NB663,Aufgrund der durch die Zulassung festgelegten Anwendungen des Mittels werden Bienen nicht gefährdet (B3).
024175-00,NN130,Das Mittel wird als nichtschädigend für Populationen der Arten Pardosa amentata und palustris (Wolfspinnen) eingestuft.
024175-00,NN160,Das Mittel wird als nichtschädigend für Populationen der Art Aleochara bilineata (Kurzflügelkäfer) eingestuft.
024175-00,NN164,Das Mittel wird als nichtschädigend für Populationen der Art Bembidion lampros (Laufkäfer) eingestuft.
024175-00,NN165,Das Mittel wird als nichtschädigend für Populationen der Art Poecilus cupreus (Laufkäfer) eingestuft.
008125-60,NB663,Aufgrund der durch die Zulassung festgelegten Anwendungen des Mittels werden Bienen nicht gefährdet (B3).
008125-60,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
025625-62,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
025625-62,NN1842,Das Mittel wird als nichtschädigend für Populationen der Art Aphidius rhopalosiphi (Brackwespe) eingestuft.
00A851-60,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
00A851-60,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
024798-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
024798-00,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
024798-00,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
024366-60,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
024366-60,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
005922-00,NB663,Aufgrund der durch die Zulassung festgelegten Anwendungen des Mittels werden Bienen nicht gefährdet (B3).
005922-00,NN002,Aufgrund der Selektivität des Mittels werden Populationen relevanter Nutzorganismen nicht gefährdet.
007180-62,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
007180-62,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
006387-64,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
00A462-60,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
00A462-60,NB6644,"Die Anwendung in Mischung mit einem als nicht bienengefährlich eingestuften Insektizid aus der Gruppe der Pyrethroide ist auch während des Bienenfluges an blühenden Pflanzen und an Pflanzen, die von Bienen beflogen werden, erlaubt."
00A462-60,NB6645,"Das Mittel darf in Mischung mit einem als nicht bienengefährlich eingestuften Insektizid aus der Gruppe der Neonikotinoide an blühenden Pflanzen und an Pflanzen, die von Bienen be-flogen werden, angewendet werden, sofern dies ausweislich der Gebrauchsanleitung des Insektizids erlaubt ist."
00A814-60,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
00A814-60,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
00A961-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
00A961-00,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
00A961-00,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
006285-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
006285-00,NN130,Das Mittel wird als nichtschädigend für Populationen der Arten Pardosa amentata und palustris (Wolfspinnen) eingestuft.
006285-00,NN165,Das Mittel wird als nichtschädigend für Populationen der Art Poecilus cupreus (Laufkäfer) eingestuft.
006285-00,NN170,Das Mittel wird als nichtschädigend für Populationen der Art Chrysoperla carnea (Florfliege) eingestuft.
006285-00,NN1842,Das Mittel wird als nichtschädigend für Populationen der Art Aphidius rhopalosiphi (Brackwespe) eingestuft.
044267-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
044267-00,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
044267-00,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
042409-00,NB663,Aufgrund der durch die Zulassung festgelegten Anwendungen des Mittels werden Bienen nicht gefährdet (B3).
042409-00,NN000,Aufgrund der durch die Zulassung festgelegten Anwendungen des Mittels werden Populationen relevanter Nutzorganismen nicht gefährdet.
00A402-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
008316-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
008316-00,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
00A472-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
00A074-00,NB663,Aufgrund der durch die Zulassung festgelegten Anwendungen des Mittels werden Bienen nicht gefährdet (B3).
00A074-00,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
00A074-00,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
008858-00,NB663,Aufgrund der durch die Zulassung festgelegten Anwendungen des Mittels werden Bienen nicht gefährdet (B3).
00A992-00,NB663,Aufgrund der durch die Zulassung festgelegten Anwendungen des Mittels werden Bienen nicht gefährdet (B3).
00A992-00,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
00A992-00,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
006858-60,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
006858-60,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
006858-60,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
00B226-60,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
00B226-60,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
034837-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
034837-00,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
034837-00,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
034046-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
034046-00,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
024411-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
024411-00,NN134,Das Mittel wird als nichtschädigend für Populationen der Art Typhlodromus pyri (Raubmilbe) eingestuft.
024411-00,NN165,Das Mittel wird als nichtschädigend für Populationen der Art Poecilus cupreus (Laufkäfer) eingestuft.
024411-00,NN170,Das Mittel wird als nichtschädigend für Populationen der Art Chrysoperla carnea (Florfliege) eingestuft.
024411-00,NN1842,Das Mittel wird als nichtschädigend für Populationen der Art Aphidius rhopalosiphi (Brackwespe) eingestuft.
006922-61,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
006922-61,NN134,Das Mittel wird als nichtschädigend für Populationen der Art Typhlodromus pyri (Raubmilbe) eingestuft.
006922-61,NN165,Das Mittel wird als nichtschädigend für Populationen der Art Poecilus cupreus (Laufkäfer) eingestuft.
00A448-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
00A448-00,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
034210-61,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
034210-61,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
00B086-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
00B086-00,NN000,Aufgrund der durch die Zulassung festgelegten Anwendungen des Mittels werden Populationen relevanter Nutzorganismen nicht gefährdet.
008047-69,NB663,Aufgrund der durch die Zulassung festgelegten Anwendungen des Mittels werden Bienen nicht gefährdet (B3).
008047-69,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
008047-69,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
00B090-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
00B090-00,NN000,Aufgrund der durch die Zulassung festgelegten Anwendungen des Mittels werden Populationen relevanter Nutzorganismen nicht gefährdet.
024172-60,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
060122-87,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
060122-87,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
060122-87,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
008794-00,NB663,Aufgrund der durch die Zulassung festgelegten Anwendungen des Mittels werden Bienen nicht gefährdet (B3).
008794-00,NN000,Aufgrund der durch die Zulassung festgelegten Anwendungen des Mittels werden Populationen relevanter Nutzorganismen nicht gefährdet.
